store_id,name,address,suburb,chain?,website_url,phone_number,lat,lng,apportioned_pop,pop_density_per_sqkm
STR_0049,Woolworths Weston Creek,21 Mahony Ct,Weston,True,https://www.woolworths.com.au/shop/storelocator/act-weston-creek-1161?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=woolworths_supermarkets_1161,(02) 6132 9828,-35.3405945,149.0529396,40074.00347672983,1417.33
STR_0050,Reptiles Inc.,66 Primmer Ct,Kambah,False,http://www.reptilesinc.com.au/,(02) 6253 8533,-35.380568,149.0582279,26622.050842430523,941.56
STR_0051,Coles Manuka,Franklin Street &,Griffith,True,http://www.coles.com.au/find-stores/coles/act/griffith-859,(02) 6126 9600,-35.3210507,149.1342033,29319.1372793792,1036.95
STR_0052,Woolworths Woden,1 Keltie St,Phillip,True,https://www.woolworths.com.au/shop/storelocator/act-woden-1118?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=woolworths_supermarkets_1118,(02) 6132 9816,-35.3457533,149.0847462,38688.83420111811,1368.34
STR_0053,Cardawan Pet Supplies,116 Uriarra Rd,Crestwood,True,,,-35.3447096,149.2194121,23958.04749424549,847.34
STR_0054,Queanbeyan,G04,Queanbeyan East,True,https://www.petstock.com.au/store/petstock-queanbeyan-2194,(02) 6128 0728,-35.3482392,149.2469552,20903.820831580328,739.32
STR_0055,Canberra Marine,29 Isa St,Fyshwick,True,http://canberramarine.com/,(02) 6239 1883,-35.3261218,149.1721331,12958.937130329288,458.33
STR_0056,Four Paws Resort Pialligo,9 Beltana Rd,Pialligo,True,https://fourpawsresort.com.au/,(02) 6152 0070,-35.3069363,149.1819931,3569.2426068729997,126.24
STR_0057,The Unusual Pet Vets Canberra,107-109 Wollongong St,Fyshwick,False,https://www.unusualpetvets.com.au/contact-us/canberra-clinic/?utm_source=google_business_profile&utm_medium=organic,(02) 5119 3659,-35.3231271,149.1767892,8240.456317100465,291.45
STR_0058,Bundara Park Stockfeeds,30 Wycombe St,Queanbeyan East,False,https://www.bundaraparkstockfeeds.com.au/,0439 986 818,-35.3348931,149.2450812,13315.277530918163,470.93
STR_0059,Kmart Queanbeyan,30 Morisset St,Queanbeyan,True,https://www.kmart.com.au/store-detail/Kmart+Queanbeyan?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=kmart+queanbeyan,(02) 6124 3200,-35.3506146,149.233846,27658.902680533007,978.23
